[2025-01-29T20:40:06.109Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T20:40:11.711Z] User: johnson | Action: login | Details: {"username":"johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T20:40:36.739Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
[2025-01-29T20:40:36.762Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T20:40:53.276Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T20:53:51.249Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T20:54:42.931Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Empty request"}
[2025-01-29T20:54:42.941Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Wrong refreshToken"}
[2025-01-29T20:54:42.945Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T20:54:43.531Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
[2025-01-29T20:54:43.543Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T20:54:53.096Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T21:04:04.211Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Empty request"}
[2025-01-29T21:04:04.224Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Wrong refreshToken"}
[2025-01-29T21:04:04.227Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T21:04:04.870Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
[2025-01-29T21:04:04.872Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T21:04:15.139Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T21:05:31.387Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Empty request"}
[2025-01-29T21:05:31.407Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Wrong refreshToken"}
[2025-01-29T21:05:31.410Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T21:05:31.714Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
